"Enabled","Ativar"
"Sort Order","Ordem de exibição"
"Title","Título"
"Allowed Methods","Serviços permitidos"
"Free Method","Serviço Para Entrega Gratuita"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Peso Máximo do Pacote"
"Calculate Handling Fee","Calcular taxa de manuseio"
"Handling Applied","Aplicar Manuseio"
"Handling Fee","Taxa de Manuseio"
"Show Method if Not Applicable","Mostrar método se não aplicável"
"Ship to Applicable Countries","Enviar para países aplicáveis"
"Ship to Specific Countries","Enviar para países específicos"
"Outside the shipping or delivery area, the source and the destination must be Brazil, the system is configured with the home country as %s and destination country as %s","Fora da área de envio ou entrega, a origem e o destino deve ser o Brasil, o sistema está configurado sendo o páis origem como %s e páis destino como %s"
"The service %s returned the following error: %s, select another option.","O serviço %s retornou o seguinte erro: %s, selecione outra opção."
"%s - Average %d day(s)","%s - Em média %d dia(s)"
"Grams","Gramas"
"ID Product Attribute Width","Identificador do atributo Largura do Produto"
"ID Product Attribute Length","Identificador do atributo Comprimento do Produto"
"ID Product Attribute Height","Identificador do atributo Altura do Produto"
